 nm      %	
------------	
303.7	3.9
305.2	4.5
306.7	4.8
308.2	5
309.7	5.1
311.2	5.1
312.7	5.1
314.2	5.1
315.7	5.1
317.2	5.1
318.7	5.2
320.2	5.2
321.7	5.2
323.2	5.2
324.7	5.2
326.2	5.2
327.7	5.2
329.2	5.2
330.7	5.2
332.2	5.2
333.7	5.2
335.2	5.2
336.7	5.2
338.2	5.2
339.7	5.2
341.2	5.2
342.7	5.2
344.2	5.2
345.7	5.2
347.2	5.2
348.7	5.2
350.2	5.2
351.7	5.2
353.2	5.2
354.7	5.2
356.2	5.2
357.7	5.2
359.2	5.2
360.7	5.2
362.3	5.2
363.8	5.2
365.3	5.2
366.8	5.2
368.3	5.2
369.8	5.2
371.3	5.2
372.8	5.2
374.3	5.2
375.8	5.2
377.3	5.2
378.8	5.2
380.3	5.2
381.8	5.2
383.3	5.2
384.8	5.2
386.3	5.2
387.8	5.2
389.3	5.2
390.8	5.2
392.3	5.2
393.8	5.2
395.3	5.2
396.8	5.2
398.3	5.2
399.8	5.2
401.3	5.2
402.8	5.3
404.3	5.4
405.8	5.5
407.3	5.7
408.8	6.3
410.3	6.6
411.8	7.3
413.3	7.7
414.8	8.8
416.3	9.3
417.8	10.7
419.3	11.4
420.8	12.7
422.3	13.4
423.8	14.9
425.3	15.6
426.8	16.9
428.3	17.5
429.9	18.5
431.4	18.9
432.9	19.5
434.4	19.6
435.9	19.5
437.4	19.4
438.9	19
440.4	18.8
441.9	18
443.4	17.6
444.9	16.7
446.4	16.2
447.9	15.1
449.4	14.5
450.9	13.5
452.4	13
453.9	12.3
455.4	11.9
456.9	10.7
458.4	10.3
459.9	9.8
461.4	9.5
462.9	8.9
464.4	8.6
465.9	7.9
467.4	7.6
468.9	7.2
470.4	7
471.9	6.9
473.4	6.8
474.9	6.8
476.4	6.8
477.9	6.8
479.4	6.9
480.9	6.9
482.4	7
483.9	7
485.4	7
486.9	7.1
488.4	7.2
489.9	7.4
491.4	7.6
492.9	8
494.4	8.3
495.9	8.9
497.5	9.3
499	9.9
500.5	10.4
502	11.2
503.5	12.3
505	14.1
506.5	16
508	18.8
509.5	21.5
511	25.6
512.5	29.8
514	35.4
515.5	39.4
517	43.9
518.5	47.5
520	52.6
521.5	57.2
523	62.1
524.5	65.8
526	69
527.5	71.3
529	73.5
530.5	75.3
532	78.4
533.5	80.6
535	83.5
536.5	88.4
538	91.9
539.5	97.6
541	98.2
542.5	98.7
544	99.5
545.5	100
547	99.1
548.5	98
550	97.3
551.5	96.4
